program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
Mgl_9,5.275791938838302,0.5556036622180572,9.495603246703794,2.1893999513939305e-21,18506,9.545783788077537e-19,15,AD_FinnGen_R11,cluster
Mgl_12,2.5356188116431366,0.2908647150142198,8.717519454084265,2.843629653077742e-18,18506,6.199112643709477e-16,57,AD_FinnGen_R11,cluster
OPC_32,2.9478959822243924,0.41532911696071373,7.097734933193321,1.2681811295283936e-12,18506,1.843089908247932e-10,33,AD_FinnGen_R11,cluster
Per_21,1.5064135174442856,0.22336145618708195,6.744285890500962,1.5378147699597964e-11,18506,1.441253691207422e-09,95,AD_FinnGen_R11,cluster
Midi_435,1.6949865119455025,0.2517129958938976,6.733806118854409,1.652813866063557e-11,18506,1.441253691207422e-09,81,AD_FinnGen_R11,cluster
Mgl_6,1.295162272067577,0.22572724965137092,5.737731151502165,9.595327138788045e-09,18506,6.972604387519313e-07,94,AD_FinnGen_R11,cluster
Mgl_7,1.8820077525948347,0.3494656425637045,5.3853870692074155,7.228891147298618e-08,18506,4.502566486031711e-06,38,AD_FinnGen_R11,cluster
Astro_53,1.2865914711117261,0.2893272351751906,4.446838439985374,8.71433267340154e-06,18506,0.00047493113070038394,56,AD_FinnGen_R11,cluster
Astro_60,0.7643503129936932,0.21904302242262036,3.4894985676328005,0.0004839276517175972,18506,0.023443606238763598,100,AD_FinnGen_R11,cluster
Mgl_4,1.0289918470330832,0.3217976076209741,3.1976367215416666,0.0013855871105483064,18506,0.06041159801990616,46,AD_FinnGen_R11,cluster
Mgl_8,0.9116611965046387,0.3331945540762938,2.73612274075731,0.006216783296761256,18506,0.2464106833989007,42,AD_FinnGen_R11,cluster
DLNP_90,0.18435741948773157,0.23977711986888445,0.7688699388354584,0.4419705247029808,18506,0.9870074201167115,83,AD_FinnGen_R11,cluster
Mono_3,0.19656679352523618,0.2579883386427547,0.7619212347323533,0.44610701549733367,18506,0.9870074201167115,72,AD_FinnGen_R11,cluster
MGE_236,-0.16254745539249582,0.22266616883954093,-0.730005174291348,0.46538702179724123,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLIT_145,-0.15955428840203187,0.21958783758894912,-0.7266080405632699,0.46746610123818055,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLIT_142,-0.15395626924346126,0.22110830715060725,-0.6962934646258877,0.4862450651434681,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_261,-0.15199719898013805,0.22059000674841645,-0.6890484352425417,0.49079278791819214,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_260,-0.15003517609533365,0.21979860456484046,-0.6826029509712986,0.4948577688920166,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_361,-0.1458898316724303,0.2207916103272171,-0.6607580399283242,0.5087674959076276,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
LRL_316,-0.14550739966402282,0.22188799150831015,-0.6557696010267111,0.5119723784663448,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA13_184,-0.1457250402229607,0.22430949327676888,-0.6496606010480122,0.5159114787524999,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLIT_152,-0.14382254963900853,0.22264192003446784,-0.6459814468755163,0.5182913708794248,18506,0.9870074201167115,97,AD_FinnGen_R11,cluster
DLNP_94,0.14301071236998678,0.22211614368838753,0.643855552303394,0.5196691064915706,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_393,-0.14234991106136818,0.22291597102859073,-0.6385810330436605,0.5230955233071631,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
