program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
Oligodendrocyte precursor,1.2750420019805337,0.2226771616631334,5.7259666526081405,1.0284642367793459e-08,18506,3.0853927103380375e-07,100,AD_FinnGen_R11,supercluster
Vascular,1.198430695790323,0.21762065863782631,5.506971182293879,3.650599915693453e-08,18506,5.47589987354018e-07,100,AD_FinnGen_R11,supercluster
Microglia,0.8378618635253625,0.2183967095821532,3.836421643569626,0.00012484000199800376,18506,0.0012484000199800376,100,AD_FinnGen_R11,supercluster
Astrocyte,0.7705486245187083,0.219118500958246,3.5165840453861983,0.00043713823977829753,18506,0.0032785367983372317,100,AD_FinnGen_R11,supercluster
MGE interneuron,-0.1126240084791704,0.22578915828414448,-0.49880166671881854,0.6179191132802262,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Lower rhombic lip,-0.10756761626625023,0.22036756989281203,-0.48812815932295167,0.6254590664656434,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Hippocampal CA1-3,-0.10919574098905993,0.22478276994259935,-0.4857834122114618,0.6271207363621075,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Thalamic excitatory,-0.09520713589746813,0.21816523631500145,-0.4363992059669935,0.6625471149668184,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Eccentric medium spiny neuron,-0.09702186771443877,0.22346689056398322,-0.43416663412452766,0.664167440511086,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
CGE interneuron,-0.09575556567664306,0.2235173019094147,-0.4284033712766008,0.668357470641841,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Splatter,-0.09417663058283728,0.2205559403059782,-0.42699657262545565,0.6693818240679779,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Deep-layer corticothalamic and 6b,-0.09173844319375513,0.2198500878459462,-0.4172772642148693,0.6764756164451624,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Mammillary body,-0.09023821578564761,0.2204274987639433,-0.4093782141142203,0.6822621249816766,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Cerebellar inhibitory,-0.08970627209908537,0.22226947603708339,-0.4035924036826307,0.68651247260177,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Choroid plexus,-0.08797615377006858,0.22453733599483838,-0.3918108023339644,0.6951980128536873,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Deep-layer near-projecting,-0.08516761324209007,0.2202548241242622,-0.38667762933555844,0.6989948795470071,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
LAMP5-LHX6 and Chandelier,-0.0837211537145268,0.2241028633030317,-0.37358359674913716,0.7087141396349725,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Miscellaneous,-0.08174850898688099,0.22072287770165036,-0.37036717642554434,0.7111089270675041,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Upper-layer intratelencephalic,-0.08030400737719245,0.22067422128886335,-0.3639029829047146,0.7159304571231253,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Fibroblast,-0.07826568592326683,0.2217699593950639,-0.3529138307855453,0.7241530416927219,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Hippocampal dentate gyrus,-0.07813153722190358,0.22196272859997102,-0.35200295885132576,0.7248360434737842,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Deep-layer intratelencephalic,-0.07736874206649459,0.22298661556783123,-0.3469658565357232,0.7286169697379693,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Midbrain-derived inhibitory,-0.069109586419065,0.2256896079681011,-0.3062151910372095,0.7594408068337788,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Medium spiny neuron,-0.06623722105158696,0.22056421527159603,-0.30030810288071647,0.7639421531174955,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Upper rhombic lip,-0.06329930661721869,0.22408458168004547,-0.28247952689399797,0.7775758428086303,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Amygdala excitatory,-0.05988305555076967,0.22415419391863067,-0.26715117171757036,0.7893527694917902,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Committed oligodendrocyte precursor,-0.0594966715636485,0.226316315132027,-0.2628916590875903,0.7926340853452852,18506,0.8807045392725391,100,AD_FinnGen_R11,supercluster
Oligodendrocyte,-0.04163773219667966,0.22558103839345267,-0.18457992964841397,0.8535585292540909,18506,0.9145269956293831,100,AD_FinnGen_R11,supercluster
Ependymal,-0.029906166489692153,0.22350279126440314,-0.13380668008889984,0.8935554447551565,18506,0.9243677014708516,100,AD_FinnGen_R11,supercluster
Hippocampal CA4,-0.011639884195796799,0.2222111279981202,-0.05238209400518981,0.9582242414414532,18506,0.9582242414414532,100,AD_FinnGen_R11,supercluster
