program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
Microglia,0.13239725156846027,0.04536828777580244,2.9182774589759912,0.0035197101109787476,18506,0.10559130332936242,100,PD_FinnGen_R11,supercluster
Hippocampal CA4,0.09307939713927513,0.04614766739014673,2.0169902923229674,0.04369652638952839,18506,0.6554478958429258,100,PD_FinnGen_R11,supercluster
Deep-layer near-projecting,-0.06397501137919002,0.0457441870914909,-1.3985386001337499,0.1619513896934489,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Splatter,0.061368660312828,0.04580696336108241,1.3397233915961082,0.18033528978473623,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Mammillary body,-0.05232462145091605,0.04578087338199969,-1.1429362872637825,0.25306504499710103,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Midbrain-derived inhibitory,-0.042842765079884194,0.0468742719617786,-0.9139931840396005,0.3607204271970046,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Hippocampal CA1-3,-0.03965921127539144,0.04668624870040917,-0.8494837854694429,0.39561214888203267,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Hippocampal dentate gyrus,-0.03472372879183241,0.046100592264735896,-0.7532165442133357,0.45131979919195453,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Upper-layer intratelencephalic,-0.03430542398734799,0.04583299640938148,-0.7484874800881679,0.4541661740140026,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Oligodendrocyte precursor,0.03173286294945066,0.046290176567394106,0.6855204560140448,0.4930155568152227,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Astrocyte,-0.031096969542557043,0.04552551967587998,-0.6830667670342405,0.4945646539054075,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
MGE interneuron,-0.029092027914417517,0.04689571553329336,-0.6203557741594494,0.535023582480369,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Committed oligodendrocyte precursor,0.027884138798448893,0.047005016549584853,0.5932162319107867,0.5530364509693844,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Vascular,-0.014125599647005209,0.045236415379047636,-0.3122616929003581,0.7548416501224094,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
LAMP5-LHX6 and Chandelier,-0.014533677521121507,0.046545700174044545,-0.3122453302190516,0.7548540844466369,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Deep-layer corticothalamic and 6b,-0.012853751393994174,0.04566247332249594,-0.2814948569082806,0.7783308722677003,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Deep-layer intratelencephalic,0.012904103679938685,0.046313858792329146,0.27862294389678366,0.7805342030316319,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Upper rhombic lip,-0.012228572284691305,0.04654186635306675,-0.2627434875929838,0.7927482957563607,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Eccentric medium spiny neuron,-0.011174188582656334,0.046413722061129085,-0.2407518312782456,0.809747464649805,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Thalamic excitatory,0.009558168934982982,0.04531259398882193,0.21093846309793843,0.8329352901102615,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Cerebellar inhibitory,-0.009732408408236326,0.04616500574442227,-0.21081787495309068,0.83302938980699,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Fibroblast,0.005950604509818172,0.046061242713348764,0.12918897014677502,0.8972081236198357,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Choroid plexus,0.004838844891403564,0.04663606482306172,0.10375757280898915,0.9173617366674083,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Lower rhombic lip,-0.004514173664208668,0.045770117537907606,-0.09862709355006465,0.9214343573529039,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Amygdala excitatory,0.0034775366251901083,0.046556391386270705,0.07469514972364504,0.9404572668539146,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Medium spiny neuron,0.0031639997704877975,0.04581078377514848,0.06906670241700187,0.9449365253359302,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Oligodendrocyte,0.002753922837418454,0.04685270019821604,0.058778316420775086,0.9531286795836766,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Ependymal,-0.002195560758103221,0.04642103224311853,-0.04729668109499421,0.9622767732268963,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
Miscellaneous,-0.001164045745588764,0.04584380131135096,-0.02539156248590898,0.9797426411005993,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
CGE interneuron,-0.00033236670919181157,0.04642425894527624,-0.007159332571869314,0.9942877278733716,18506,0.9942877278733716,100,PD_FinnGen_R11,supercluster
